Actividad económica principal;Indicador;Comunidad autónoma;periodo;Total
4764 Comercio al por menor de artículos deportivos;Porcentaje;País Vasco;2017;27,8
4764 Comercio al por menor de artículos deportivos;Porcentaje;País Vasco;2016;29,2
4764 Comercio al por menor de artículos deportivos;Porcentaje;País Vasco;2015;30,1
4764 Comercio al por menor de artículos deportivos;Porcentaje;País Vasco;2014;31,8
4764 Comercio al por menor de artículos deportivos;Porcentaje;País Vasco;2013;32,5
4764 Comercio al por menor de artículos deportivos;Porcentaje;País Vasco;2012;31,4
4764 Comercio al por menor de artículos deportivos;Porcentaje;País Vasco;2011;32,9
4764 Comercio al por menor de artículos deportivos;Porcentaje;País Vasco;2010;32,9
4764 Comercio al por menor de artículos deportivos;Porcentaje;País Vasco;2009;29,2
4764 Comercio al por menor de artículos deportivos;Porcentaje;País Vasco;2008;39,8
4764 Comercio al por menor de artículos deportivos;Porcentaje;Rioja, La;2024;9,6
4764 Comercio al por menor de artículos deportivos;Porcentaje;Rioja, La;2023;11,5
4764 Comercio al por menor de artículos deportivos;Porcentaje;Rioja, La;2022;12,5
4764 Comercio al por menor de artículos deportivos;Porcentaje;Rioja, La;2021;14,8
4764 Comercio al por menor de artículos deportivos;Porcentaje;Rioja, La;2020;15,2
4764 Comercio al por menor de artículos deportivos;Porcentaje;Rioja, La;2019;15,2
4764 Comercio al por menor de artículos deportivos;Porcentaje;Rioja, La;2018;19,0
4764 Comercio al por menor de artículos deportivos;Porcentaje;Rioja, La;2017;20,9
4764 Comercio al por menor de artículos deportivos;Porcentaje;Rioja, La;2016;21,7
4764 Comercio al por menor de artículos deportivos;Porcentaje;Rioja, La;2015;27,0
4764 Comercio al por menor de artículos deportivos;Porcentaje;Rioja, La;2014;28,2
4764 Comercio al por menor de artículos deportivos;Porcentaje;Rioja, La;2013;27,5
4764 Comercio al por menor de artículos deportivos;Porcentaje;Rioja, La;2012;27,9
4764 Comercio al por menor de artículos deportivos;Porcentaje;Rioja, La;2011;29,1
4764 Comercio al por menor de artículos deportivos;Porcentaje;Rioja, La;2010;28,8
4764 Comercio al por menor de artículos deportivos;Porcentaje;Rioja, La;2009;32,7
4764 Comercio al por menor de artículos deportivos;Porcentaje;Rioja, La;2008;32,2
4764 Comercio al por menor de artículos deportivos;Porcentaje;Ceuta y Melilla;2024;17,0
4764 Comercio al por menor de artículos deportivos;Porcentaje;Ceuta y Melilla;2023;16,7
4764 Comercio al por menor de artículos deportivos;Porcentaje;Ceuta y Melilla;2022;16,9
4764 Comercio al por menor de artículos deportivos;Porcentaje;Ceuta y Melilla;2021;17,5
4764 Comercio al por menor de artículos deportivos;Porcentaje;Ceuta y Melilla;2020;16,8
4764 Comercio al por menor de artículos deportivos;Porcentaje;Ceuta y Melilla;2019;18,1
4764 Comercio al por menor de artículos deportivos;Porcentaje;Ceuta y Melilla;2018;21,7
4764 Comercio al por menor de artículos deportivos;Porcentaje;Ceuta y Melilla;2017;24,6
4764 Comercio al por menor de artículos deportivos;Porcentaje;Ceuta y Melilla;2016;24,1
4764 Comercio al por menor de artículos deportivos;Porcentaje;Ceuta y Melilla;2015;23,1
4764 Comercio al por menor de artículos deportivos;Porcentaje;Ceuta y Melilla;2014;24,5
4764 Comercio al por menor de artículos deportivos;Porcentaje;Ceuta y Melilla;2013;23,0
4764 Comercio al por menor de artículos deportivos;Porcentaje;Ceuta y Melilla;2012;26,6
4764 Comercio al por menor de artículos deportivos;Porcentaje;Ceuta y Melilla;2011;24,4
4764 Comercio al por menor de artículos deportivos;Porcentaje;Ceuta y Melilla;2010;..
4764 Comercio al por menor de artículos deportivos;Porcentaje;Ceuta y Melilla;2009;..
4764 Comercio al por menor de artículos deportivos;Porcentaje;Ceuta y Melilla;2008;..
8551 Educación deportiva y recreativa;Valores absolutos;Total;2024;4.014,0
8551 Educación deportiva y recreativa;Valores absolutos;Total;2023;3.753,0
8551 Educación deportiva y recreativa;Valores absolutos;Total;2022;3.501,0
8551 Educación deportiva y recreativa;Valores absolutos;Total;2021;2.988,0
8551 Educación deportiva y recreativa;Valores absolutos;Total;2020;3.073,0
8551 Educación deportiva y recreativa;Valores absolutos;Total;2019;2.626,0
8551 Educación deportiva y recreativa;Valores absolutos;Total;2018;..
8551 Educación deportiva y recreativa;Valores absolutos;Total;2017;..
8551 Educación deportiva y recreativa;Valores absolutos;Total;2016;..
8551 Educación deportiva y recreativa;Valores absolutos;Total;2015;..
8551 Educación deportiva y recreativa;Valores absolutos;Total;2014;..
8551 Educación deportiva y recreativa;Valores absolutos;Total;2013;..
8551 Educación deportiva y recreativa;Valores absolutos;Total;2012;..
8551 Educación deportiva y recreativa;Valores absolutos;Total;2011;..
8551 Educación deportiva y recreativa;Valores absolutos;Total;2010;..
8551 Educación deportiva y recreativa;Valores absolutos;Total;2009;..
8551 Educación deportiva y recreativa;Valores absolutos;Total;2008;..
8551 Educación deportiva y recreativa;Valores absolutos;Andalucía;2024;498,0
8551 Educación deportiva y recreativa;Valores absolutos;Andalucía;2023;470,0
8551 Educación deportiva y recreativa;Valores absolutos;Andalucía;2022;450,0
8551 Educación deportiva y recreativa;Valores absolutos;Andalucía;2021;362,0
8551 Educación deportiva y recreativa;Valores absolutos;Andalucía;2020;386,0
8551 Educación deportiva y recreativa;Valores absolutos;Andalucía;2019;352,0
8551 Educación deportiva y recreativa;Valores absolutos;Andalucía;2018;..
8551 Educación deportiva y recreativa;Valores absolutos;Andalucía;2017;..
8551 Educación deportiva y recreativa;Valores absolutos;Andalucía;2016;..
8551 Educación deportiva y recreativa;Valores absolutos;Andalucía;2015;..
8551 Educación deportiva y recreativa;Valores absolutos;Andalucía;2014;..
8551 Educación deportiva y recreativa;Valores absolutos;Andalucía;2013;..
8551 Educación deportiva y recreativa;Valores absolutos;Andalucía;2012;..
8551 Educación deportiva y recreativa;Valores absolutos;Andalucía;2011;..
8551 Educación deportiva y recreativa;Valores absolutos;Andalucía;2010;..
8551 Educación deportiva y recreativa;Valores absolutos;Andalucía;2009;..
8551 Educación deportiva y recreativa;Valores absolutos;Andalucía;2008;..
8551 Educación deportiva y recreativa;Valores absolutos;Aragón;2024;121,0
8551 Educación deportiva y recreativa;Valores absolutos;Aragón;2023;112,0
8551 Educación deportiva y recreativa;Valores absolutos;Aragón;2022;120,0
8551 Educación deportiva y recreativa;Valores absolutos;Aragón;2021;96,0
8551 Educación deportiva y recreativa;Valores absolutos;Aragón;2020;103,0
8551 Educación deportiva y recreativa;Valores absolutos;Aragón;2019;92,0
8551 Educación deportiva y recreativa;Valores absolutos;Aragón;2018;..
8551 Educación deportiva y recreativa;Valores absolutos;Aragón;2017;..
8551 Educación deportiva y recreativa;Valores absolutos;Aragón;2016;..
8551 Educación deportiva y recreativa;Valores absolutos;Aragón;2015;..
8551 Educación deportiva y recreativa;Valores absolutos;Aragón;2014;..
8551 Educación deportiva y recreativa;Valores absolutos;Aragón;2013;..
8551 Educación deportiva y recreativa;Valores absolutos;Aragón;2012;..
8551 Educación deportiva y recreativa;Valores absolutos;Aragón;2011;..
8551 Educación deportiva y recreativa;Valores absolutos;Aragón;2010;..
8551 Educación deportiva y recreativa;Valores absolutos;Aragón;2009;..
8551 Educación deportiva y recreativa;Valores absolutos;Aragón;2008;..
8551 Educación deportiva y recreativa;Valores absolutos;Asturias, Principado de;2024;88,0
8551 Educación deportiva y recreativa;Valores absolutos;Asturias, Principado de;2023;90,0
8551 Educación deportiva y recreativa;Valores absolutos;Asturias, Principado de;2022;86,0
8551 Educación deportiva y recreativa;Valores absolutos;Asturias, Principado de;2021;71,0
8551 Educación deportiva y recreativa;Valores absolutos;Asturias, Principado de;2020;80,0
8551 Educación deportiva y recreativa;Valores absolutos;Asturias, Principado de;2019;74,0
8551 Educación deportiva y recreativa;Valores absolutos;Asturias, Principado de;2018;..
8551 Educación deportiva y recreativa;Valores absolutos;Asturias, Principado de;2017;..
8551 Educación deportiva y recreativa;Valores absolutos;Asturias, Principado de;2016;..
8551 Educación deportiva y recreativa;Valores absolutos;Asturias, Principado de;2015;..
8551 Educación deportiva y recreativa;Valores absolutos;Asturias, Principado de;2014;..
8551 Educación deportiva y recreativa;Valores absolutos;Asturias, Principado de;2013;..
8551 Educación deportiva y recreativa;Valores absolutos;Asturias, Principado de;2012;..
8551 Educación deportiva y recreativa;Valores absolutos;Asturias, Principado de;2011;..
8551 Educación deportiva y recreativa;Valores absolutos;Asturias, Principado de;2010;..
8551 Educación deportiva y recreativa;Valores absolutos;Asturias, Principado de;2009;..
8551 Educación deportiva y recreativa;Valores absolutos;Asturias, Principado de;2008;..
8551 Educación deportiva y recreativa;Valores absolutos;Balears, Illes;2024;94,0
8551 Educación deportiva y recreativa;Valores absolutos;Balears, Illes;2023;86,0
8551 Educación deportiva y recreativa;Valores absolutos;Balears, Illes;2022;68,0
8551 Educación deportiva y recreativa;Valores absolutos;Balears, Illes;2021;69,0
8551 Educación deportiva y recreativa;Valores absolutos;Balears, Illes;2020;71,0
8551 Educación deportiva y recreativa;Valores absolutos;Balears, Illes;2019;53,0
8551 Educación deportiva y recreativa;Valores absolutos;Balears, Illes;2018;..
8551 Educación deportiva y recreativa;Valores absolutos;Balears, Illes;2017;..
8551 Educación deportiva y recreativa;Valores absolutos;Balears, Illes;2016;..
8551 Educación deportiva y recreativa;Valores absolutos;Balears, Illes;2015;..
8551 Educación deportiva y recreativa;Valores absolutos;Balears, Illes;2014;..
8551 Educación deportiva y recreativa;Valores absolutos;Balears, Illes;2013;..
8551 Educación deportiva y recreativa;Valores absolutos;Balears, Illes;2012;..
8551 Educación deportiva y recreativa;Valores absolutos;Balears, Illes;2011;..
8551 Educación deportiva y recreativa;Valores absolutos;Balears, Illes;2010;..
8551 Educación deportiva y recreativa;Valores absolutos;Balears, Illes;2009;..
8551 Educación deportiva y recreativa;Valores absolutos;Balears, Illes;2008;..
8551 Educación deportiva y recreativa;Valores absolutos;Canarias;2024;256,0
8551 Educación deportiva y recreativa;Valores absolutos;Canarias;2023;238,0
8551 Educación deportiva y recreativa;Valores absolutos;Canarias;2022;211,0
8551 Educación deportiva y recreativa;Valores absolutos;Canarias;2021;157,0
8551 Educación deportiva y recreativa;Valores absolutos;Canarias;2020;167,0
8551 Educación deportiva y recreativa;Valores absolutos;Canarias;2019;134,0
8551 Educación deportiva y recreativa;Valores absolutos;Canarias;2018;..
8551 Educación deportiva y recreativa;Valores absolutos;Canarias;2017;..
8551 Educación deportiva y recreativa;Valores absolutos;Canarias;2016;..
8551 Educación deportiva y recreativa;Valores absolutos;Canarias;2015;..
8551 Educación deportiva y recreativa;Valores absolutos;Canarias;2014;..
8551 Educación deportiva y recreativa;Valores absolutos;Canarias;2013;..
8551 Educación deportiva y recreativa;Valores absolutos;Canarias;2012;..
8551 Educación deportiva y recreativa;Valores absolutos;Canarias;2011;..
8551 Educación deportiva y recreativa;Valores absolutos;Canarias;2010;..
8551 Educación deportiva y recreativa;Valores absolutos;Canarias;2009;..
8551 Educación deportiva y recreativa;Valores absolutos;Canarias;2008;..
8551 Educación deportiva y recreativa;Valores absolutos;Cantabria;2024;79,0
8551 Educación deportiva y recreativa;Valores absolutos;Cantabria;2023;69,0
8551 Educación deportiva y recreativa;Valores absolutos;Cantabria;2022;60,0
8551 Educación deportiva y recreativa;Valores absolutos;Cantabria;2021;54,0
8551 Educación deportiva y recreativa;Valores absolutos;Cantabria;2020;55,0
8551 Educación deportiva y recreativa;Valores absolutos;Cantabria;2019;53,0
8551 Educación deportiva y recreativa;Valores absolutos;Cantabria;2018;..
8551 Educación deportiva y recreativa;Valores absolutos;Cantabria;2017;..
8551 Educación deportiva y recreativa;Valores absolutos;Cantabria;2016;..
8551 Educación deportiva y recreativa;Valores absolutos;Cantabria;2015;..
8551 Educación deportiva y recreativa;Valores absolutos;Cantabria;2014;..
8551 Educación deportiva y recreativa;Valores absolutos;Cantabria;2013;..
8551 Educación deportiva y recreativa;Valores absolutos;Cantabria;2012;..
8551 Educación deportiva y recreativa;Valores absolutos;Cantabria;2011;..
8551 Educación deportiva y recreativa;Valores absolutos;Cantabria;2010;..
8551 Educación deportiva y recreativa;Valores absolutos;Cantabria;2009;..
8551 Educación deportiva y recreativa;Valores absolutos;Cantabria;2008;..
8551 Educación deportiva y recreativa;Valores absolutos;Castilla y León;2024;155,0
8551 Educación deportiva y recreativa;Valores absolutos;Castilla y León;2023;153,0
8551 Educación deportiva y recreativa;Valores absolutos;Castilla y León;2022;144,0
8551 Educación deportiva y recreativa;Valores absolutos;Castilla y León;2021;122,0
8551 Educación deportiva y recreativa;Valores absolutos;Castilla y León;2020;147,0
8551 Educación deportiva y recreativa;Valores absolutos;Castilla y León;2019;139,0
8551 Educación deportiva y recreativa;Valores absolutos;Castilla y León;2018;..
8551 Educación deportiva y recreativa;Valores absolutos;Castilla y León;2017;..
8551 Educación deportiva y recreativa;Valores absolutos;Castilla y León;2016;..
8551 Educación deportiva y recreativa;Valores absolutos;Castilla y León;2015;..
8551 Educación deportiva y recreativa;Valores absolutos;Castilla y León;2014;..
8551 Educación deportiva y recreativa;Valores absolutos;Castilla y León;2013;..
8551 Educación deportiva y recreativa;Valores absolutos;Castilla y León;2012;..
8551 Educación deportiva y recreativa;Valores absolutos;Castilla y León;2011;..
8551 Educación deportiva y recreativa;Valores absolutos;Castilla y León;2010;..
8551 Educación deportiva y recreativa;Valores absolutos;Castilla y León;2009;..
8551 Educación deportiva y recreativa;Valores absolutos;Castilla y León;2008;..
8551 Educación deportiva y recreativa;Valores absolutos;Castilla-La Mancha;2024;116,0
8551 Educación deportiva y recreativa;Valores absolutos;Castilla-La Mancha;2023;114,0
8551 Educación deportiva y recreativa;Valores absolutos;Castilla-La Mancha;2022;100,0
8551 Educación deportiva y recreativa;Valores absolutos;Castilla-La Mancha;2021;82,0
8551 Educación deportiva y recreativa;Valores absolutos;Castilla-La Mancha;2020;93,0
8551 Educación deportiva y recreativa;Valores absolutos;Castilla-La Mancha;2019;77,0
8551 Educación deportiva y recreativa;Valores absolutos;Castilla-La Mancha;2018;..
8551 Educación deportiva y recreativa;Valores absolutos;Castilla-La Mancha;2017;..
8551 Educación deportiva y recreativa;Valores absolutos;Castilla-La Mancha;2016;..
8551 Educación deportiva y recreativa;Valores absolutos;Castilla-La Mancha;2015;..
8551 Educación deportiva y recreativa;Valores absolutos;Castilla-La Mancha;2014;..
8551 Educación deportiva y recreativa;Valores absolutos;Castilla-La Mancha;2013;..
8551 Educación deportiva y recreativa;Valores absolutos;Castilla-La Mancha;2012;..
8551 Educación deportiva y recreativa;Valores absolutos;Castilla-La Mancha;2011;..
8551 Educación deportiva y recreativa;Valores absolutos;Castilla-La Mancha;2010;..
8551 Educación deportiva y recreativa;Valores absolutos;Castilla-La Mancha;2009;..
8551 Educación deportiva y recreativa;Valores absolutos;Castilla-La Mancha;2008;..
8551 Educación deportiva y recreativa;Valores absolutos;Cataluña;2024;564,0
8551 Educación deportiva y recreativa;Valores absolutos;Cataluña;2023;511,0
8551 Educación deportiva y recreativa;Valores absolutos;Cataluña;2022;477,0
8551 Educación deportiva y recreativa;Valores absolutos;Cataluña;2021;397,0
8551 Educación deportiva y recreativa;Valores absolutos;Cataluña;2020;393,0
8551 Educación deportiva y recreativa;Valores absolutos;Cataluña;2019;317,0
8551 Educación deportiva y recreativa;Valores absolutos;Cataluña;2018;..
8551 Educación deportiva y recreativa;Valores absolutos;Cataluña;2017;..
8551 Educación deportiva y recreativa;Valores absolutos;Cataluña;2016;..
8551 Educación deportiva y recreativa;Valores absolutos;Cataluña;2015;..
8551 Educación deportiva y recreativa;Valores absolutos;Cataluña;2014;..
8551 Educación deportiva y recreativa;Valores absolutos;Cataluña;2013;..
8551 Educación deportiva y recreativa;Valores absolutos;Cataluña;2012;..
8551 Educación deportiva y recreativa;Valores absolutos;Cataluña;2011;..
8551 Educación deportiva y recreativa;Valores absolutos;Cataluña;2010;..
8551 Educación deportiva y recreativa;Valores absolutos;Cataluña;2009;..
8551 Educación deportiva y recreativa;Valores absolutos;Cataluña;2008;..
8551 Educación deportiva y recreativa;Valores absolutos;Comunitat Valenciana;2024;375,0
8551 Educación deportiva y recreativa;Valores absolutos;Comunitat Valenciana;2023;343,0
8551 Educación deportiva y recreativa;Valores absolutos;Comunitat Valenciana;2022;317,0
8551 Educación deportiva y recreativa;Valores absolutos;Comunitat Valenciana;2021;274,0
8551 Educación deportiva y recreativa;Valores absolutos;Comunitat Valenciana;2020;283,0
8551 Educación deportiva y recreativa;Valores absolutos;Comunitat Valenciana;2019;218,0
8551 Educación deportiva y recreativa;Valores absolutos;Comunitat Valenciana;2018;..
8551 Educación deportiva y recreativa;Valores absolutos;Comunitat Valenciana;2017;..
8551 Educación deportiva y recreativa;Valores absolutos;Comunitat Valenciana;2016;..
8551 Educación deportiva y recreativa;Valores absolutos;Comunitat Valenciana;2015;..
8551 Educación deportiva y recreativa;Valores absolutos;Comunitat Valenciana;2014;..
8551 Educación deportiva y recreativa;Valores absolutos;Comunitat Valenciana;2013;..
8551 Educación deportiva y recreativa;Valores absolutos;Comunitat Valenciana;2012;..
8551 Educación deportiva y recreativa;Valores absolutos;Comunitat Valenciana;2011;..
8551 Educación deportiva y recreativa;Valores absolutos;Comunitat Valenciana;2010;..
8551 Educación deportiva y recreativa;Valores absolutos;Comunitat Valenciana;2009;..
8551 Educación deportiva y recreativa;Valores absolutos;Comunitat Valenciana;2008;..
8551 Educación deportiva y recreativa;Valores absolutos;Extremadura;2024;34,0
8551 Educación deportiva y recreativa;Valores absolutos;Extremadura;2023;32,0
8551 Educación deportiva y recreativa;Valores absolutos;Extremadura;2022;28,0
8551 Educación deportiva y recreativa;Valores absolutos;Extremadura;2021;27,0
8551 Educación deportiva y recreativa;Valores absolutos;Extremadura;2020;35,0
8551 Educación deportiva y recreativa;Valores absolutos;Extremadura;2019;34,0
8551 Educación deportiva y recreativa;Valores absolutos;Extremadura;2018;..
8551 Educación deportiva y recreativa;Valores absolutos;Extremadura;2017;..
8551 Educación deportiva y recreativa;Valores absolutos;Extremadura;2016;..
8551 Educación deportiva y recreativa;Valores absolutos;Extremadura;2015;..
8551 Educación deportiva y recreativa;Valores absolutos;Extremadura;2014;..
8551 Educación deportiva y recreativa;Valores absolutos;Extremadura;2013;..
8551 Educación deportiva y recreativa;Valores absolutos;Extremadura;2012;..
8551 Educación deportiva y recreativa;Valores absolutos;Extremadura;2011;..
8551 Educación deportiva y recreativa;Valores absolutos;Extremadura;2010;..
8551 Educación deportiva y recreativa;Valores absolutos;Extremadura;2009;..
8551 Educación deportiva y recreativa;Valores absolutos;Extremadura;2008;..
8551 Educación deportiva y recreativa;Valores absolutos;Galicia;2024;234,0
8551 Educación deportiva y recreativa;Valores absolutos;Galicia;2023;225,0
8551 Educación deportiva y recreativa;Valores absolutos;Galicia;2022;214,0
8551 Educación deportiva y recreativa;Valores absolutos;Galicia;2021;195,0
8551 Educación deportiva y recreativa;Valores absolutos;Galicia;2020;197,0
8551 Educación deportiva y recreativa;Valores absolutos;Galicia;2019;165,0
8551 Educación deportiva y recreativa;Valores absolutos;Galicia;2018;..
8551 Educación deportiva y recreativa;Valores absolutos;Galicia;2017;..
8551 Educación deportiva y recreativa;Valores absolutos;Galicia;2016;..
8551 Educación deportiva y recreativa;Valores absolutos;Galicia;2015;..
8551 Educación deportiva y recreativa;Valores absolutos;Galicia;2014;..
8551 Educación deportiva y recreativa;Valores absolutos;Galicia;2013;..
8551 Educación deportiva y recreativa;Valores absolutos;Galicia;2012;..
8551 Educación deportiva y recreativa;Valores absolutos;Galicia;2011;..
8551 Educación deportiva y recreativa;Valores absolutos;Galicia;2010;..
8551 Educación deportiva y recreativa;Valores absolutos;Galicia;2009;..
8551 Educación deportiva y recreativa;Valores absolutos;Galicia;2008;..
8551 Educación deportiva y recreativa;Valores absolutos;Madrid, Comunidad de;2024;505,0
8551 Educación deportiva y recreativa;Valores absolutos;Madrid, Comunidad de;2023;477,0
8551 Educación deportiva y recreativa;Valores absolutos;Madrid, Comunidad de;2022;414,0
8551 Educación deportiva y recreativa;Valores absolutos;Madrid, Comunidad de;2021;347,0
8551 Educación deportiva y recreativa;Valores absolutos;Madrid, Comunidad de;2020;370,0
8551 Educación deportiva y recreativa;Valores absolutos;Madrid, Comunidad de;2019;322,0
8551 Educación deportiva y recreativa;Valores absolutos;Madrid, Comunidad de;2018;..
8551 Educación deportiva y recreativa;Valores absolutos;Madrid, Comunidad de;2017;..
8551 Educación deportiva y recreativa;Valores absolutos;Madrid, Comunidad de;2016;..
8551 Educación deportiva y recreativa;Valores absolutos;Madrid, Comunidad de;2015;..
8551 Educación deportiva y recreativa;Valores absolutos;Madrid, Comunidad de;2014;..
8551 Educación deportiva y recreativa;Valores absolutos;Madrid, Comunidad de;2013;..
8551 Educación deportiva y recreativa;Valores absolutos;Madrid, Comunidad de;2012;..
8551 Educación deportiva y recreativa;Valores absolutos;Madrid, Comunidad de;2011;..
8551 Educación deportiva y recreativa;Valores absolutos;Madrid, Comunidad de;2010;..
8551 Educación deportiva y recreativa;Valores absolutos;Madrid, Comunidad de;2009;..
8551 Educación deportiva y recreativa;Valores absolutos;Madrid, Comunidad de;2008;..
8551 Educación deportiva y recreativa;Valores absolutos;Murcia, Región de;2024;94,0
8551 Educación deportiva y recreativa;Valores absolutos;Murcia, Región de;2023;80,0
8551 Educación deportiva y recreativa;Valores absolutos;Murcia, Región de;2022;89,0
8551 Educación deportiva y recreativa;Valores absolutos;Murcia, Región de;2021;65,0
8551 Educación deportiva y recreativa;Valores absolutos;Murcia, Región de;2020;66,0
8551 Educación deportiva y recreativa;Valores absolutos;Murcia, Región de;2019;64,0
8551 Educación deportiva y recreativa;Valores absolutos;Murcia, Región de;2018;..
8551 Educación deportiva y recreativa;Valores absolutos;Murcia, Región de;2017;..
8551 Educación deportiva y recreativa;Valores absolutos;Murcia, Región de;2016;..
8551 Educación deportiva y recreativa;Valores absolutos;Murcia, Región de;2015;..
8551 Educación deportiva y recreativa;Valores absolutos;Murcia, Región de;2014;..
8551 Educación deportiva y recreativa;Valores absolutos;Murcia, Región de;2013;..
8551 Educación deportiva y recreativa;Valores absolutos;Murcia, Región de;2012;..
8551 Educación deportiva y recreativa;Valores absolutos;Murcia, Región de;2011;..
8551 Educación deportiva y recreativa;Valores absolutos;Murcia, Región de;2010;..
8551 Educación deportiva y recreativa;Valores absolutos;Murcia, Región de;2009;..
8551 Educación deportiva y recreativa;Valores absolutos;Murcia, Región de;2008;..
8551 Educación deportiva y recreativa;Valores absolutos;Navarra, Comunidad Foral de;2024;148,0
8551 Educación deportiva y recreativa;Valores absolutos;Navarra, Comunidad Foral de;2023;145,0
8551 Educación deportiva y recreativa;Valores absolutos;Navarra, Comunidad Foral de;2022;137,0
8551 Educación deportiva y recreativa;Valores absolutos;Navarra, Comunidad Foral de;2021;123,0
8551 Educación deportiva y recreativa;Valores absolutos;Navarra, Comunidad Foral de;2020;114,0
8551 Educación deportiva y recreativa;Valores absolutos;Navarra, Comunidad Foral de;2019;113,0
8551 Educación deportiva y recreativa;Valores absolutos;Navarra, Comunidad Foral de;2018;..
8551 Educación deportiva y recreativa;Valores absolutos;Navarra, Comunidad Foral de;2017;..
8551 Educación deportiva y recreativa;Valores absolutos;Navarra, Comunidad Foral de;2016;..
8551 Educación deportiva y recreativa;Valores absolutos;Navarra, Comunidad Foral de;2015;..
8551 Educación deportiva y recreativa;Valores absolutos;Navarra, Comunidad Foral de;2014;..
8551 Educación deportiva y recreativa;Valores absolutos;Navarra, Comunidad Foral de;2013;..
8551 Educación deportiva y recreativa;Valores absolutos;Navarra, Comunidad Foral de;2012;..
8551 Educación deportiva y recreativa;Valores absolutos;Navarra, Comunidad Foral de;2011;..
8551 Educación deportiva y recreativa;Valores absolutos;Navarra, Comunidad Foral de;2010;..
8551 Educación deportiva y recreativa;Valores absolutos;Navarra, Comunidad Foral de;2009;..
8551 Educación deportiva y recreativa;Valores absolutos;Navarra, Comunidad Foral de;2008;..
8551 Educación deportiva y recreativa;Valores absolutos;País Vasco;2024;615,0
8551 Educación deportiva y recreativa;Valores absolutos;País Vasco;2023;574,0
8551 Educación deportiva y recreativa;Valores absolutos;País Vasco;2022;549,0
8551 Educación deportiva y recreativa;Valores absolutos;País Vasco;2021;515,0
8551 Educación deportiva y recreativa;Valores absolutos;País Vasco;2020;478,0
8551 Educación deportiva y recreativa;Valores absolutos;País Vasco;2019;389,0
8551 Educación deportiva y recreativa;Valores absolutos;País Vasco;2018;..
8551 Educación deportiva y recreativa;Valores absolutos;País Vasco;2017;..
8551 Educación deportiva y recreativa;Valores absolutos;País Vasco;2016;..
8551 Educación deportiva y recreativa;Valores absolutos;País Vasco;2015;..
8551 Educación deportiva y recreativa;Valores absolutos;País Vasco;2014;..
8551 Educación deportiva y recreativa;Valores absolutos;País Vasco;2013;..
8551 Educación deportiva y recreativa;Valores absolutos;País Vasco;2012;..
8551 Educación deportiva y recreativa;Valores absolutos;País Vasco;2011;..
8551 Educación deportiva y recreativa;Valores absolutos;País Vasco;2010;..
8551 Educación deportiva y recreativa;Valores absolutos;País Vasco;2009;..
8551 Educación deportiva y recreativa;Valores absolutos;País Vasco;2008;..
8551 Educación deportiva y recreativa;Valores absolutos;Rioja, La;2024;28,0
8551 Educación deportiva y recreativa;Valores absolutos;Rioja, La;2023;24,0
8551 Educación deportiva y recreativa;Valores absolutos;Rioja, La;2022;28,0
8551 Educación deportiva y recreativa;Valores absolutos;Rioja, La;2021;24,0
8551 Educación deportiva y recreativa;Valores absolutos;Rioja, La;2020;27,0
8551 Educación deportiva y recreativa;Valores absolutos;Rioja, La;2019;24,0
8551 Educación deportiva y recreativa;Valores absolutos;Rioja, La;2018;..
8551 Educación deportiva y recreativa;Valores absolutos;Rioja, La;2017;..
8551 Educación deportiva y recreativa;Valores absolutos;Rioja, La;2016;..
8551 Educación deportiva y recreativa;Valores absolutos;Rioja, La;2015;..
8551 Educación deportiva y recreativa;Valores absolutos;Rioja, La;2014;..
8551 Educación deportiva y recreativa;Valores absolutos;Rioja, La;2013;..
8551 Educación deportiva y recreativa;Valores absolutos;Rioja, La;2012;..
8551 Educación deportiva y recreativa;Valores absolutos;Rioja, La;2011;..
8551 Educación deportiva y recreativa;Valores absolutos;Rioja, La;2010;..
8551 Educación deportiva y recreativa;Valores absolutos;Rioja, La;2009;..
8551 Educación deportiva y recreativa;Valores absolutos;Rioja, La;2008;..
8551 Educación deportiva y recreativa;Valores absolutos;Ceuta y Melilla;2024;10,0
8551 Educación deportiva y recreativa;Valores absolutos;Ceuta y Melilla;2023;10,0
8551 Educación deportiva y recreativa;Valores absolutos;Ceuta y Melilla;2022;9,0
8551 Educación deportiva y recreativa;Valores absolutos;Ceuta y Melilla;2021;8,0
8551 Educación deportiva y recreativa;Valores absolutos;Ceuta y Melilla;2020;8,0
8551 Educación deportiva y recreativa;Valores absolutos;Ceuta y Melilla;2019;6,0
8551 Educación deportiva y recreativa;Valores absolutos;Ceuta y Melilla;2018;..
8551 Educación deportiva y recreativa;Valores absolutos;Ceuta y Melilla;2017;..
8551 Educación deportiva y recreativa;Valores absolutos;Ceuta y Melilla;2016;..
8551 Educación deportiva y recreativa;Valores absolutos;Ceuta y Melilla;2015;..
8551 Educación deportiva y recreativa;Valores absolutos;Ceuta y Melilla;2014;..
8551 Educación deportiva y recreativa;Valores absolutos;Ceuta y Melilla;2013;..
8551 Educación deportiva y recreativa;Valores absolutos;Ceuta y Melilla;2012;..
8551 Educación deportiva y recreativa;Valores absolutos;Ceuta y Melilla;2011;..
8551 Educación deportiva y recreativa;Valores absolutos;Ceuta y Melilla;2010;..
8551 Educación deportiva y recreativa;Valores absolutos;Ceuta y Melilla;2009;..
